[Subject]	
[Date]	04/04/2016
[Time]	15:35:06
[Channels]	24
[Rate]	1000.000000
[Type]	Average
[Points]	1101
[Xmin]	-100.00000
[Sweeps]	256
[Accepted]	62
[Rejected]	194
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      Oz]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
     0.3330	     0.3871	     0.4819	     0.5306	     0.3844	     0.5820	     0.3655	     0.2978	     0.2139	     0.1624	     0.2978	     0.2409	    -0.1002	    -0.2328	    -0.1218	     1.6297	     0.4575	    -0.3113	     0.1164	    -0.3167	     0.4196	    -0.4467	     0.3898	     0.6308	
     0.4034	     0.3980	     0.5144	     0.5739	     0.3953	     0.5929	     0.3953	     0.3005	     0.2057	     0.2166	     0.3113	     0.2193	    -0.0379	    -0.2518	    -0.1029	     1.6703	     0.4873	    -0.2843	     0.0677	    -0.3411	     0.4359	    -0.5550	     0.3925	     0.5820	
     0.4196	     0.4034	     0.5739	     0.5739	     0.3871	     0.6037	     0.4359	     0.3059	     0.2112	     0.2355	     0.3059	     0.2003	    -0.0162	    -0.2680	    -0.0704	     1.6433	     0.5333	    -0.2680	     0.0135	    -0.3519	     0.4115	    -0.6633	     0.4007	     0.5414	
     0.5333	     0.4250	     0.6389	     0.6254	     0.4169	     0.6443	     0.5035	     0.3384	     0.2409	     0.3140	     0.3032	     0.2030	     0.0352	    -0.2843	    -0.0244	     1.6352	     0.5469	    -0.2247	    -0.0190	    -0.3519	     0.4142	    -0.7661	     0.4061	     0.5171	
     0.5766	     0.4304	     0.6849	     0.6687	     0.4169	     0.6524	     0.5252	     0.3249	     0.2464	     0.3628	     0.3032	     0.2139	     0.0785	    -0.2897	     0.0244	     1.5729	     0.5712	    -0.1922	    -0.0541	    -0.3330	     0.4223	    -0.8690	     0.4250	     0.4250	
     0.6389	     0.4738	     0.7634	     0.7093	     0.4304	     0.6714	     0.5712	     0.3519	     0.2815	     0.4007	     0.3005	     0.2003	     0.1164	    -0.2978	     0.0839	     1.4781	     0.5929	    -0.1435	    -0.0433	    -0.3167	     0.4007	    -0.9719	     0.4196	     0.3763	
     0.7066	     0.4792	     0.8067	     0.7499	     0.4575	     0.7093	     0.5956	     0.3546	     0.2870	     0.4440	     0.3167	     0.1976	     0.1516	    -0.3140	     0.1678	     1.3942	     0.6064	    -0.1137	    -0.0298	    -0.2951	     0.3980	    -1.0775	     0.3871	     0.3113	
     0.7716	     0.4927	     0.8555	     0.7824	     0.4711	     0.7282	     0.6281	     0.3655	     0.3032	     0.5090	     0.2951	     0.1895	     0.1787	    -0.3140	     0.2193	     1.3049	     0.6010	    -0.0569	     0.0271	    -0.2328	     0.3898	    -1.1370	     0.3682	     0.2220	
     0.8176	     0.5279	     0.8961	     0.7905	     0.4900	     0.7228	     0.6551	     0.3763	     0.3086	     0.5496	     0.2870	     0.1922	     0.2112	    -0.3140	     0.2761	     1.1614	     0.6037	    -0.0244	     0.1002	    -0.2003	     0.3925	    -1.1993	     0.3519	     0.1327	
     0.8744	     0.5171	     0.9177	     0.7824	     0.4792	     0.6958	     0.6416	     0.3465	     0.2870	     0.5550	     0.2707	     0.1706	     0.2464	    -0.3005	     0.3330	     1.0450	     0.6010	    -0.0135	     0.1570	    -0.1435	     0.3546	    -1.2101	     0.3140	     0.0920	
     0.9042	     0.5171	     0.9313	     0.7661	     0.4575	     0.7012	     0.6497	     0.3249	     0.2897	     0.5685	     0.2491	     0.1245	     0.2518	    -0.2978	     0.3817	     0.8934	     0.5793	     0.0406	     0.2518	    -0.0758	     0.3384	    -1.2101	     0.2626	     0.0569	
     0.9042	     0.5117	     0.9448	     0.7634	     0.4332	     0.6579	     0.6254	     0.2870	     0.2788	     0.5685	     0.1976	     0.0866	     0.2382	    -0.2978	     0.4196	     0.7120	     0.5820	     0.0460	     0.3113	    -0.0406	     0.3113	    -1.1533	     0.2328	     0.0271	
     0.8961	     0.4765	     0.9042	     0.7201	     0.4359	     0.6118	     0.6118	     0.2707	     0.2247	     0.5414	     0.1462	     0.0541	     0.2166	    -0.2978	     0.4332	     0.5360	     0.5820	     0.0460	     0.3817	    -0.0054	     0.2599	    -1.0558	     0.1868	     0.0135	
     0.8690	     0.4765	     0.8934	     0.6849	     0.4034	     0.5523	     0.5414	     0.2301	     0.2112	     0.5198	     0.1083	     0.0027	     0.2112	    -0.2897	     0.4765	     0.4169	     0.5577	     0.0541	     0.4223	     0.0217	     0.2220	    -0.9421	     0.1570	     0.0108	
     0.8230	     0.4142	     0.8474	     0.6335	     0.3357	     0.5035	     0.5144	     0.1706	     0.1706	     0.5144	     0.0541	    -0.0650	     0.1760	    -0.2870	     0.4873	     0.2680	     0.5469	     0.0596	     0.4521	     0.0704	     0.1760	    -0.7770	     0.1164	    -0.0108	
     0.7770	     0.3871	     0.7716	     0.5496	     0.2815	     0.4088	     0.4548	     0.0975	     0.0948	     0.4602	    -0.0054	    -0.1137	     0.1543	    -0.2734	     0.4873	     0.0920	     0.5252	     0.0298	     0.5144	     0.0623	     0.1354	    -0.5875	     0.0839	    -0.0108	
     0.7039	     0.3492	     0.7364	     0.5144	     0.2464	     0.3330	     0.4169	     0.0596	     0.0731	     0.4304	    -0.0487	    -0.1516	     0.1570	    -0.2572	     0.4846	    -0.0081	     0.4819	     0.0541	     0.5631	     0.1083	     0.1164	    -0.3953	     0.0650	    -0.0162	
     0.6362	     0.3113	     0.6606	     0.4359	     0.2220	     0.2491	     0.3709	     0.0000	     0.0190	     0.4088	    -0.0920	    -0.2057	     0.1110	    -0.2464	     0.5387	    -0.1299	     0.4602	     0.0298	     0.6037	     0.0866	     0.0704	    -0.1868	     0.0460	     0.0162	
     0.5441	     0.2301	     0.5658	     0.3303	     0.1678	     0.1570	     0.2978	    -0.0569	    -0.0271	     0.3628	    -0.1651	    -0.2599	     0.0920	    -0.2355	     0.4927	    -0.2301	     0.4494	     0.0244	     0.6118	     0.0866	     0.0271	     0.0352	     0.0162	     0.0217	
     0.4413	     0.1787	     0.4738	     0.2545	     0.0975	     0.0623	     0.2518	    -0.0948	    -0.0866	     0.3086	    -0.1922	    -0.3059	     0.0758	    -0.2193	     0.5062	    -0.3222	     0.4250	     0.0244	     0.6118	     0.0704	     0.0000	     0.2301	    -0.0135	     0.0541	
     0.3817	     0.1435	     0.4196	     0.2057	     0.0650	    -0.0054	     0.2166	    -0.1272	    -0.1002	     0.2572	    -0.2220	    -0.3249	     0.0785	    -0.2085	     0.4873	    -0.3898	     0.3898	     0.0081	     0.5902	     0.0704	    -0.0271	     0.4250	    -0.0217	     0.0785	
     0.3005	     0.1029	     0.3384	     0.1272	     0.0271	    -0.0920	     0.1597	    -0.1651	    -0.1381	     0.2193	    -0.2382	    -0.3465	     0.0541	    -0.1895	     0.4629	    -0.4683	     0.3790	    -0.0054	     0.5550	     0.0541	    -0.0596	     0.6145	    -0.0298	     0.1002	
     0.2085	     0.0460	     0.2464	     0.0677	    -0.0054	    -0.1814	     0.1272	    -0.1922	    -0.1706	     0.1814	    -0.2572	    -0.3817	     0.0352	    -0.1922	     0.4250	    -0.5252	     0.3628	    -0.0217	     0.4819	     0.0460	    -0.0866	     0.7959	    -0.0298	     0.1191	
     0.1462	     0.0000	     0.1760	     0.0217	    -0.0433	    -0.2409	     0.0731	    -0.2220	    -0.2057	     0.1272	    -0.2734	    -0.4223	     0.0217	    -0.1760	     0.3953	    -0.6064	     0.3303	    -0.0433	     0.4223	     0.0325	    -0.1083	     0.9665	    -0.0379	     0.1245	
     0.0704	    -0.0325	     0.1164	    -0.0135	    -0.0487	    -0.3059	     0.0325	    -0.2220	    -0.2328	     0.0866	    -0.2653	    -0.4169	     0.0081	    -0.1543	     0.3330	    -0.6660	     0.2978	    -0.0460	     0.3411	     0.0000	    -0.1164	     1.1072	    -0.0271	     0.1543	
    -0.0054	    -0.0596	     0.0406	    -0.0677	    -0.0975	    -0.3574	    -0.0027	    -0.2247	    -0.2436	     0.0569	    -0.2518	    -0.4277	    -0.0162	    -0.1435	     0.2761	    -0.7472	     0.2707	    -0.0677	     0.2572	    -0.0162	    -0.1435	     1.2182	    -0.0244	     0.1272	
    -0.0433	    -0.0948	    -0.0217	    -0.1002	    -0.1218	    -0.4169	    -0.0460	    -0.2626	    -0.2545	     0.0217	    -0.2788	    -0.4548	    -0.0352	    -0.1137	     0.2409	    -0.7553	     0.2382	    -0.0866	     0.1651	    -0.0487	    -0.1354	     1.2832	    -0.0379	     0.1787	
    -0.0704	    -0.1408	    -0.0650	    -0.1272	    -0.1597	    -0.4413	    -0.0785	    -0.2545	    -0.2761	    -0.0325	    -0.2436	    -0.4169	    -0.0298	    -0.1056	     0.1841	    -0.7959	     0.2220	    -0.1110	     0.0812	    -0.0758	    -0.1597	     1.2940	    -0.0162	     0.1814	
    -0.1029	    -0.1651	    -0.1543	    -0.1543	    -0.1895	    -0.4900	    -0.0785	    -0.2572	    -0.2870	    -0.0623	    -0.2518	    -0.4304	    -0.0325	    -0.1002	     0.1381	    -0.8257	     0.1949	    -0.1327	    -0.0027	    -0.0866	    -0.1489	     1.2697	    -0.0162	     0.2328	
    -0.1218	    -0.2085	    -0.1787	    -0.1733	    -0.2057	    -0.4927	    -0.1056	    -0.2545	    -0.2734	    -0.0866	    -0.2518	    -0.3980	    -0.0190	    -0.0866	     0.0975	    -0.8338	     0.1651	    -0.1245	    -0.0650	    -0.1164	    -0.1651	     1.1885	    -0.0135	     0.2897	
    -0.1272	    -0.2247	    -0.2220	    -0.1678	    -0.2301	    -0.5117	    -0.1137	    -0.2436	    -0.2572	    -0.1056	    -0.2085	    -0.3628	    -0.0162	    -0.0677	     0.0623	    -0.8528	     0.1327	    -0.1462	    -0.0948	    -0.1462	    -0.1651	     1.0639	    -0.0081	     0.2924	
    -0.1272	    -0.2518	    -0.2599	    -0.1733	    -0.2436	    -0.5441	    -0.1245	    -0.2409	    -0.2707	    -0.1381	    -0.2139	    -0.3736	    -0.0325	    -0.0650	     0.0352	    -0.8474	     0.1056	    -0.1787	    -0.1651	    -0.2030	    -0.1760	     0.9367	    -0.0190	     0.3222	
    -0.1137	    -0.2761	    -0.2761	    -0.1489	    -0.2599	    -0.5441	    -0.1164	    -0.1949	    -0.2572	    -0.1299	    -0.2003	    -0.3249	     0.0108	    -0.0162	     0.0027	    -0.8663	     0.0433	    -0.1462	    -0.2112	    -0.2355	    -0.1733	     0.8419	    -0.0190	     0.3546	
    -0.1137	    -0.3059	    -0.3032	    -0.1462	    -0.2870	    -0.5469	    -0.1272	    -0.2274	    -0.2545	    -0.1435	    -0.1760	    -0.3330	    -0.0081	     0.0000	    -0.0271	    -0.8446	    -0.0054	    -0.1408	    -0.2572	    -0.2653	    -0.1678	     0.7120	    -0.0244	     0.3628	
    -0.1272	    -0.3330	    -0.3492	    -0.1299	    -0.3113	    -0.5739	    -0.1489	    -0.2003	    -0.2491	    -0.1733	    -0.1814	    -0.2924	     0.0244	     0.0325	    -0.0569	    -0.7797	    -0.0677	    -0.1543	    -0.2707	    -0.3330	    -0.1678	     0.6470	    -0.0217	     0.3736	
    -0.1435	    -0.3574	    -0.3601	    -0.1272	    -0.3357	    -0.5739	    -0.1408	    -0.2139	    -0.2518	    -0.1841	    -0.1787	    -0.2518	     0.0325	     0.0623	    -0.0514	    -0.7391	    -0.1272	    -0.1408	    -0.2843	    -0.3817	    -0.1543	     0.6010	    -0.0352	     0.3546	
    -0.1570	    -0.3790	    -0.4142	    -0.1462	    -0.3438	    -0.6010	    -0.1381	    -0.2220	    -0.2545	    -0.1868	    -0.1489	    -0.2139	     0.0650	     0.0920	    -0.0758	    -0.6443	    -0.1760	    -0.1381	    -0.2707	    -0.4277	    -0.1516	     0.5848	    -0.0406	     0.3167	
    -0.1787	    -0.4061	    -0.4142	    -0.1516	    -0.3492	    -0.5956	    -0.1272	    -0.1922	    -0.2328	    -0.1949	    -0.1191	    -0.1760	     0.0623	     0.1110	    -0.1083	    -0.5171	    -0.2301	    -0.1002	    -0.2464	    -0.4656	    -0.1299	     0.6037	    -0.0514	     0.2707	
    -0.2003	    -0.4656	    -0.4656	    -0.1976	    -0.3763	    -0.6118	    -0.1678	    -0.1868	    -0.2085	    -0.1868	    -0.1245	    -0.1489	     0.0866	     0.1381	    -0.1056	    -0.3925	    -0.2870	    -0.0975	    -0.2139	    -0.4900	    -0.1408	     0.6308	    -0.0731	     0.2193	
    -0.2328	    -0.4792	    -0.4981	    -0.2355	    -0.3953	    -0.6037	    -0.2057	    -0.1733	    -0.2274	    -0.1949	    -0.1083	    -0.1083	     0.1137	     0.1651	    -0.1029	    -0.2464	    -0.3330	    -0.0596	    -0.1733	    -0.4900	    -0.1029	     0.6876	    -0.0731	     0.1597	
    -0.3059	    -0.5360	    -0.5550	    -0.2951	    -0.4548	    -0.6362	    -0.2545	    -0.2030	    -0.2112	    -0.1922	    -0.1083	    -0.1002	     0.0704	     0.1706	    -0.1354	    -0.1354	    -0.3438	    -0.0893	    -0.1354	    -0.5035	    -0.1002	     0.7418	    -0.0975	     0.0920	
    -0.3519	    -0.5820	    -0.5956	    -0.3601	    -0.4819	    -0.6633	    -0.3303	    -0.2301	    -0.2247	    -0.2545	    -0.1056	    -0.1110	     0.0677	     0.1868	    -0.1570	    -0.0379	    -0.3465	    -0.0650	    -0.1029	    -0.4981	    -0.1218	     0.8257	    -0.1272	     0.0379	
    -0.3980	    -0.6281	    -0.6714	    -0.4602	    -0.5252	    -0.7012	    -0.3736	    -0.2382	    -0.2680	    -0.2843	    -0.1218	    -0.1029	     0.0569	     0.1733	    -0.1868	     0.0298	    -0.3411	    -0.0812	    -0.0650	    -0.5306	    -0.1164	     0.8934	    -0.1462	    -0.0162	
    -0.4846	    -0.6822	    -0.7364	    -0.5550	    -0.5496	    -0.7364	    -0.4359	    -0.2680	    -0.2734	    -0.3195	    -0.1327	    -0.0893	     0.0352	     0.1651	    -0.1760	     0.1381	    -0.3438	    -0.1002	     0.0000	    -0.5496	    -0.1164	     0.9340	    -0.1651	    -0.0541	
    -0.5333	    -0.7093	    -0.7851	    -0.6281	    -0.6010	    -0.7716	    -0.5090	    -0.2761	    -0.3032	    -0.3790	    -0.1570	    -0.1002	     0.0000	     0.1733	    -0.1678	     0.2139	    -0.3411	    -0.0893	     0.0623	    -0.5333	    -0.1083	     0.9529	    -0.2057	    -0.0514	
    -0.5983	    -0.7499	    -0.8311	    -0.7228	    -0.6227	    -0.8203	    -0.5766	    -0.3113	    -0.3303	    -0.4169	    -0.1462	    -0.1272	    -0.0108	     0.1651	    -0.1949	     0.2680	    -0.3140	    -0.0866	     0.0785	    -0.5496	    -0.1272	     0.9611	    -0.2274	    -0.0514	
    -0.6714	    -0.8176	    -0.9177	    -0.8284	    -0.6633	    -0.8501	    -0.6416	    -0.3330	    -0.3574	    -0.4711	    -0.1543	    -0.1354	    -0.0487	     0.1408	    -0.2220	     0.2572	    -0.2761	    -0.1218	     0.1272	    -0.5604	    -0.1462	     0.9529	    -0.2518	    -0.0812	
    -0.7093	    -0.7905	    -0.9638	    -0.9448	    -0.6849	    -0.8609	    -0.7066	    -0.3303	    -0.3763	    -0.4873	    -0.1814	    -0.1408	    -0.0623	     0.1245	    -0.1895	     0.2491	    -0.2518	    -0.1354	     0.1787	    -0.5414	    -0.1570	     0.9150	    -0.2761	    -0.0514	
    -0.7201	    -0.8067	    -1.0044	    -0.9908	    -0.6930	    -0.8798	    -0.7580	    -0.3574	    -0.3980	    -0.4981	    -0.1733	    -0.1435	    -0.0731	     0.1272	    -0.2057	     0.2247	    -0.2301	    -0.1245	     0.2112	    -0.4900	    -0.1597	     0.8744	    -0.3249	    -0.0352	
    -0.7824	    -0.7986	    -1.0260	    -1.0964	    -0.6958	    -0.9015	    -0.8365	    -0.3817	    -0.4196	    -0.5550	    -0.2003	    -0.1678	    -0.1245	     0.0948	    -0.1787	     0.1949	    -0.1922	    -0.1354	     0.2274	    -0.4548	    -0.1814	     0.8122	    -0.3492	    -0.0298	
    -0.7959	    -0.8040	    -1.0477	    -1.1587	    -0.6795	    -0.8798	    -0.8582	    -0.3763	    -0.4359	    -0.5875	    -0.1841	    -0.1733	    -0.1218	     0.0839	    -0.1760	     0.1976	    -0.1760	    -0.1462	     0.2870	    -0.4115	    -0.1787	     0.7337	    -0.3844	     0.0054	
    -0.8230	    -0.7743	    -1.0693	    -1.2372	    -0.6741	    -0.8907	    -0.9096	    -0.4061	    -0.4602	    -0.6145	    -0.2030	    -0.1841	    -0.1489	     0.0677	    -0.1408	     0.1570	    -0.1489	    -0.1327	     0.2707	    -0.3871	    -0.1976	     0.6281	    -0.4332	     0.0000	
    -0.8122	    -0.7472	    -1.0721	    -1.2616	    -0.6930	    -0.8934	    -0.9529	    -0.3925	    -0.4602	    -0.6308	    -0.2085	    -0.2057	    -0.1733	     0.0596	    -0.0893	     0.1543	    -0.1191	    -0.1083	     0.2545	    -0.2978	    -0.2328	     0.4927	    -0.4765	     0.0054	
    -0.7959	    -0.6849	    -1.0856	    -1.3157	    -0.6741	    -0.8934	    -1.0044	    -0.4169	    -0.4792	    -0.6741	    -0.2382	    -0.2220	    -0.1949	     0.0541	    -0.0541	     0.1841	    -0.1083	    -0.1299	     0.2436	    -0.2139	    -0.2464	     0.3682	    -0.5333	     0.0135	
    -0.8013	    -0.6579	    -1.1018	    -1.3265	    -0.6579	    -0.8988	    -1.0477	    -0.4386	    -0.5144	    -0.7120	    -0.2518	    -0.2545	    -0.2599	     0.0325	    -0.0325	     0.1814	    -0.0704	    -0.1516	     0.2274	    -0.1462	    -0.2815	     0.2166	    -0.5766	    -0.0569	
    -0.7824	    -0.5956	    -1.0883	    -1.3753	    -0.6497	    -0.8771	    -1.0369	    -0.4250	    -0.5306	    -0.7147	    -0.2734	    -0.2599	    -0.2436	     0.0244	    -0.0162	     0.1868	    -0.0650	    -0.1354	     0.2355	    -0.0839	    -0.3059	     0.0677	    -0.6335	    -0.0650	
    -0.7716	    -0.5441	    -1.0856	    -1.3617	    -0.6443	    -0.8880	    -1.0612	    -0.4629	    -0.5496	    -0.7553	    -0.3032	    -0.2951	    -0.2897	     0.0135	    -0.0054	     0.1922	    -0.0406	    -0.1435	     0.2382	    -0.0325	    -0.3465	    -0.0785	    -0.6768	    -0.1327	
    -0.7282	    -0.4846	    -1.0314	    -1.3428	    -0.6362	    -0.8663	    -1.0477	    -0.4738	    -0.5604	    -0.7580	    -0.3249	    -0.3384	    -0.2897	     0.0135	    -0.0352	     0.1895	    -0.0379	    -0.1381	     0.2193	     0.0433	    -0.3655	    -0.2274	    -0.7228	    -0.1570	
    -0.6958	    -0.4061	    -1.0071	    -1.3319	    -0.6308	    -0.8555	    -1.0423	    -0.4738	    -0.5739	    -0.7580	    -0.3384	    -0.3790	    -0.3222	     0.0054	    -0.0812	     0.1408	    -0.0298	    -0.1272	     0.2545	     0.1272	    -0.4088	    -0.3384	    -0.7743	    -0.1868	
